year,man(korean),woman(korean),man(foreigner),woman(foreigner),oldman
2011,1410980,1390294,30523,19694,250528
2012,1431593,1412388,28099,19206,260107
2013,1448835,1430947,30027,20355,282471
2014,1459074,1443534,33030,22293,298818
2015,1469869,1455946,33770,23899,312905
2016,1477671,1465398,34394,24709,324255
2017,1479597,1468945,36353,26243,345024
2018,1481844,1472798,39200,28669,362675
2019,1482249,1474777,41155,31104,384506
2020,1473943,1468885,38152,29496,411483
2021,1427672,1428993,54530,45849,432149
2022,1438975,1439949,60130,50071,461596
